batch,issue_ids,module_id,file_path,what_changed,source_url,status
A,ISS-002;ISS-502,1.1,lesson-modules/1-fundamentals/1.1-welcome/MODULE.md,"Replaced Alt+Spacebar with Windows key+C / Copilot key; replaced Alt+I with Home tab > Copilot button; updated keyboard shortcuts table",https://support.microsoft.com/en-us/topic/getting-started-with-copilot-on-windows-1159c61f,DONE
A,ISS-016,1.2,lesson-modules/1-fundamentals/1.2-workspace-setup/MODULE.md,"Replaced Alt+Spacebar with Windows key+C; replaced Alt+I with Home tab > Copilot button; updated shortcuts table",https://support.microsoft.com/en-us/topic/getting-started-with-copilot-on-windows-1159c61f,DONE
A,ISS-479;ISS-481;ISS-482,1.7,lesson-modules/1-fundamentals/1.7-m365-navigation/MODULE.md,"Replaced Alt+Spacebar and Alt+I across 7 occurrences (table + 3 exercises + summary); updated to Home tab > Copilot button",https://support.microsoft.com/en-us/office/how-to-find-and-enable-missing-copilot-button-c8482b93,DONE
A,cascade,1.10,lesson-modules/1-fundamentals/1.10-sharepoint-collaboration/MODULE.md,"Replaced Alt+Space/Alt+I in Level 1 Quick Reference table",https://support.microsoft.com/en-us/topic/getting-started-with-copilot-on-windows-1159c61f,DONE
B,ISS-007;ISS-026;ISS-014,1.2,lesson-modules/1-fundamentals/1.2-workspace-setup/MODULE.md,"Replaced paperclip icon (📎) with + (Add content) button in 2 locations; added Upload images and files / Attach cloud files options",https://support.microsoft.com/en-us/topic/add-content-to-microsoft-365-copilot-chat-prompts-438173cf,DONE
C,ISS-013,1.2,lesson-modules/1-fundamentals/1.2-workspace-setup/MODULE.md,"Replaced copilot.microsoft.com with m365.cloud.microsoft in 3 locations (exercise + section header + tip)",https://support.microsoft.com/en-us/office/the-microsoft-365-app-transition-22eac811,DONE
C,ISS-013;ISS-502,1.1,lesson-modules/1-fundamentals/1.1-welcome/MODULE.md,"Replaced copilot.microsoft.com with m365.cloud.microsoft in 2 locations (access section + Exercise 1)",https://support.microsoft.com/en-us/office/the-microsoft-365-app-transition-22eac811,DONE
C,ISS-068,1.6,lesson-modules/1-fundamentals/1.6-copilot-memory/MODULE.md,"Replaced copilot.microsoft.com with m365.cloud.microsoft in Exercise 1",https://support.microsoft.com/en-us/office/the-microsoft-365-app-transition-22eac811,DONE
D,ISS-383,1.1,lesson-modules/1-fundamentals/1.1-welcome/MODULE.md,"Changed 'Standup inefficiency' to 'Daily Scrum inefficiency'; 'standups' to 'Daily Scrums'; 'standup notes' to 'Daily Scrum notes' in 3 locations",https://scrumguides.org/scrum-guide.html,DONE
D,ISS-119,1.10,lesson-modules/1-fundamentals/1.10-sharepoint-collaboration/MODULE.md,"Changed 'Daily Standup' to 'Daily Scrum' in prompt; 'Scrum ceremonies' to 'Scrum events'; 'Copilot will:' to 'Copilot may:'",https://scrumguides.org/scrum-guide.html,DONE
E,ISS-398,1.6,lesson-modules/1-fundamentals/1.6-copilot-memory/MODULE.md,"Replaced generic note with detailed Warning callout about Memory being preview (Frontier program); added fallback path for learners without Memory enabled",https://learn.microsoft.com/en-us/copilot/microsoft-365/copilot-personalization-memory,DONE
E,ISS-118,1.9,lesson-modules/1-fundamentals/1.9-outlook-integration/MODULE.md,"Added Warning callout before Exercise 5 explaining Copilot meeting features require license + privacy settings enabled; added troubleshooting steps",https://support.microsoft.com/en-us/office/how-to-find-and-enable-missing-copilot-button-c8482b93,DONE
E,ISS-507,1.8,lesson-modules/1-fundamentals/1.8-teams-integration/MODULE.md,"Changed 'Template by EOW' to 'Template by end of sprint' for evergreen date reference in expected output",n/a - internal consistency,DONE
E,ISS-508,1.8,lesson-modules/1-fundamentals/1.8-teams-integration/MODULE.md,"Added Tip callout before Exercise 4 with step-by-step guidance for finding Copilot in Teams channels (immersive view required); added 1000-char minimum note and admin contact guidance",https://support.microsoft.com/en-us/office/use-copilot-in-microsoft-teams-chat-and-channels-cccccca2,DONE
F,ISS-504,1.3,lesson-modules/1-fundamentals/1.3-first-tasks/MODULE.md,"Changed 'rate limit requirements blocker (4 days open)' to 'recurring across the week' — source data ambiguous on exact day count",n/a - verified against sample-files/ceremony-notes/daily-standups-week47.md,DONE
F,ISS-385,1.3,lesson-modules/1-fundamentals/1.3-first-tasks/MODULE.md,"Added Tip callout with instructions on how to access sample files (copy from course viewer or save locally). Raw files not in static site output — build system enhancement deferred.",n/a - build system limitation,DONE
G,ISS-017,build,build-static.js,"Added dark mode CSS overrides for exercise cards: dark background (#1a1a1a) + inverted badge colors (lime bg with black text) for improved readability",n/a - CSS contrast fix,DONE
G,ISS-468,2.3,lesson-modules/2-advanced-sm-work/2.3-team-health/MODULE.md,"Added two-method instructions (upload file OR copy-paste data inline) before Exercise 1",n/a - usability improvement,DONE
G,ISS-075,1.6,lesson-modules/1-fundamentals/1.6-copilot-memory/MODULE.md,"Added Tip callout before Exercise 3 with instructions on accessing and saving course sample files",n/a - usability improvement,DONE
G,ISS-170,4.1,lesson-modules/4-data-driven/4.1-sprint-analytics/MODULE.md,"Added Tip callout before Exercise 5 (SPC) explaining it's optional/advanced and can be skipped without affecting later modules",n/a - usability improvement,DONE
G,ISS-072,1.6,lesson-modules/1-fundamentals/1.6-copilot-memory/MODULE.md,"DEFERRED — section reorganization requires deeper structural analysis of module flow",n/a,DEFERRED
G,ISS-301,2.1,lesson-modules/2-advanced-sm-work/2.1-facilitating-ceremonies/MODULE.md,"DEFERRED — adding before/after ceremony states requires substantial content creation and Scrum Guide alignment",https://scrumguides.org/scrum-guide.html,DEFERRED
4A,ISS-005,1.1,lesson-modules/1-fundamentals/1.1-welcome/MODULE.md,"Enhanced Exercise 1 'What you should see' with detailed UI element descriptions + Tip callout for UI change resilience",n/a - descriptive text,DONE
4A,ISS-430,3.1,lesson-modules/3-team-visuals/3.1-image-basics/MODULE.md,"Added success criteria checklist for Exercise 1 image output + note about 15-30s generation time + iteration guidance",n/a - usability improvement,DONE
4B,ISS-010,1.1,lesson-modules/1-fundamentals/1.1-welcome/MODULE.md,"Added 'Where Copilot Fits in Your Scrum Events' table mapping 5 Scrum events to Copilot use cases and course modules",https://scrumguides.org/scrum-guide.html,DONE
4B,ISS-046;ISS-053,1.4,lesson-modules/1-fundamentals/1.4-researcher-analyst-agents/MODULE.md,"Added Reference callout connecting Researcher outputs to Scrum practice (Retrospective facilitation; Backlog Refinement; Sprint Planning)",https://scrumguides.org/scrum-guide.html,DONE
4B,ISS-274,1.8,lesson-modules/1-fundamentals/1.8-teams-integration/MODULE.md,"Added Reference callout with forward references to Modules 2.1 (Ceremonies); 2.3 (Team Health); 4.1 (Sprint Analytics)",n/a - course navigation,DONE
4C,ISS-023,1.2,lesson-modules/1-fundamentals/1.2-workspace-setup/MODULE.md,"Added formatting instructions to Exercise 1 prompt: 'strict bullet-point format only'; 'one sentence per bullet'",n/a - prompt engineering,DONE
4C,ISS-032;ISS-036,1.3,lesson-modules/1-fundamentals/1.3-first-tasks/MODULE.md,"Added Tip with sample prompt for matching writing style: upload template + ask Copilot to analyze and replicate tone/structure",n/a - prompt engineering,DONE
4C,ISS-038,1.3,lesson-modules/1-fundamentals/1.3-first-tasks/MODULE.md,"Added Reference callout connecting action items to Scrum artifacts (impediment log; Retro inputs; Sprint Planning items) with sample follow-up prompt",https://scrumguides.org/scrum-guide.html,DONE
4D,ISS-045,1.4,lesson-modules/1-fundamentals/1.4-researcher-analyst-agents/MODULE.md,"No fix needed — module header says 25 min and course-structure.json matches. The '20 min' reference may have been in a prior version.",n/a - already consistent,N/A
4E,ISS-055,1.4,lesson-modules/1-fundamentals/1.4-researcher-analyst-agents/MODULE.md,"Added 'From Analysis to Action' section with impediment identification prompt + Warning about validating outputs + cross-reference to Module 2.4",https://learn.microsoft.com/en-us/copilot/microsoft-365/copilot-personalization-memory,DONE
4E,ISS-140,2.5,lesson-modules/2-advanced-sm-work/2.5-advanced-prompts/MODULE.md,"Added 'Accuracy & Limitations' section covering data dependencies; permissions scope; over-engineered prompt pitfalls + cross-reference to Module 2.4",n/a - responsible AI guidance,DONE
4E,ISS-405,1.8,lesson-modules/1-fundamentals/1.8-teams-integration/MODULE.md,"Added Warning about transcription requirement for meeting Copilot + note about verifying action items + expanded admin note",n/a - Copilot limitations,DONE
4F,ISS-213,1.1,lesson-modules/1-fundamentals/1.1-welcome/MODULE.md,"Added 'Quick Start for Scrum Masters' section with 3 starter prompts and success criteria before the Access section",n/a - onboarding improvement,DONE
4F,ISS-222,1.2,lesson-modules/1-fundamentals/1.2-workspace-setup/MODULE.md,"Added 'Troubleshooting Common Enterprise Issues' table with 6 common problems; causes and solutions",https://support.microsoft.com/en-us/office/how-to-find-and-enable-missing-copilot-button-c8482b93,DONE
4F,ISS-233;ISS-234,1.4,lesson-modules/1-fundamentals/1.4-researcher-analyst-agents/MODULE.md,"Added Quality Gate Checklist (5 items) + 'Fix the Output' mini-playbook (5 steps) for validating and improving agent outputs",n/a - quality assurance,DONE
4F,ISS-246,1.6,lesson-modules/1-fundamentals/1.6-copilot-memory/MODULE.md,"Added Warning about stale memory anti-pattern with concrete example (relocated team member) + guidance to review Saved Memories periodically",n/a - anti-pattern guidance,DONE
4F,ISS-401,1.7,lesson-modules/1-fundamentals/1.7-m365-navigation/MODULE.md,"Added 'Data Access & Permissions' Warning section explaining what Copilot can/cannot access across Chat; In-App; and ContextIQ",n/a - permissions guidance,DONE
4F,ISS-469,2.4,lesson-modules/2-advanced-sm-work/2.4-responsible-ai/MODULE.md,"Fixed Example 5 classification from 'GREEN if anonymized' to 'YELLOW' — coaching conversation about weekend work implies specific behavior even without names",n/a - content accuracy,DONE
4F,ISS-496,5.2,lesson-modules/5-scaling/5.2-multi-team/MODULE.md,"Added Tip before Exercise 2 explaining how to access the reference dependency map file and two methods for using it",n/a - usability improvement,DONE
4F,ISS-510;ISS-513,build,build-static.js,"Updated copy button success text to 'Copied! Use Ctrl+V to paste' — right-click paste is a Copilot UI limitation not fixable in course code",n/a - browser limitation,DONE
4F,ISS-447,5.3,lesson-modules/5-scaling/5.3-organizational-change/MODULE.md,"Added 'When NOT to Use Copilot' section: sensitive politics; relationship building; reading the room; low-stakes decisions",n/a - responsible AI guidance,DONE
4F,ISS-432,4.1,lesson-modules/4-data-driven/4.1-sprint-analytics/MODULE.md,"Added Warning about long prompt errors with 3 troubleshooting fixes (new chat; upload file instead; break into simpler prompts)",n/a - Copilot limitations,DONE
